ID,BldgTypeID,TypicalHeight,ModerateMedian,ModerateBeta,ExtensiveMedian,ExtensiveBeta,CompleteMedian,CompleteBeta
1,1,14,7,0.77,7,0.77,14,0.65
2,2,24,12,0.78,12,0.78,24,0.65
3,3,24,12,0.78,12,0.78,24,0.65
4,4,60,12,0.62,36,0.33,60,0.35
5,5,156,12,0.65,84,0.35,156,0.36
6,6,24,12,0.78,12,0.78,24,0.65
7,7,60,12,0.62,36,0.33,60,0.35
8,8,156,12,0.65,84,0.35,156,0.36
9,9,15,7.5,0.77,7.5,0.77,15,0.65
10,10,24,12,0.78,12,0.78,24,0.65
11,11,60,12,0.62,36,0.33,60,0.35
12,12,156,12,0.65,84,0.35,156,0.36
13,13,24,12,0.78,12,0.78,24,0.65
14,14,60,12,0.62,36,0.33,60,0.35
15,15,156,12,0.65,84,0.35,156,0.36
16,16,20,10,0.78,10,0.78,20,0.65
17,17,50,10,0.62,30,0.33,50,0.35
18,18,120,10,0.65,60,0.36,120,0.36
19,19,20,10,0.78,10,0.78,20,0.65
20,20,50,10,0.62,30,0.33,50,0.35
21,21,120,10,0.65,60,0.36,120,0.36
22,22,20,10,0.78,10,0.78,20,0.65
23,23,50,10,0.62,30,0.33,50,0.35
24,24,120,10,0.65,60,0.36,120,0.36
25,25,15,7.5,0.77,7.5,0.77,15,0.65
26,26,20,10,0.78,10,0.78,20,0.65
27,27,50,10,0.62,30,0.33,50,0.35
28,28,120,10,0.65,60,0.36,120,0.36
29,29,20,10,0.78,10,0.78,20,0.65
30,30,50,10,0.62,30,0.33,50,0.35
31,31,20,10,0.78,10,0.78,20,0.65
32,32,50,10,0.62,30,0.33,50,0.35
33,33,120,10,0.65,60,0.36,120,0.36
34,34,15,7.5,0.77,7.5,0.77,15,0.65
35,35,36,12,0.65,24,0.43,36,0.49
36,36,10,5,0.72,5,0.72,10,0.59
